username,name,company,location,followers,public_repos,profile_url
usman-asghar-ai,Usman Asghar,,"Lahore, Pakistan ",0,2,https://github.com/usman-asghar-ai
gvanrossum,Guido van Rossum,Microsoft,San Francisco Bay Area,26492,28,https://github.com/gvanrossum
antirez,Salvatore Sanfilippo,Redis Labs,"Catania, Sicily, Italy",30006,108,https://github.com/antirez
tj,TJ,Apex,,51835,296,https://github.com/tj
sindresorhus,Sindre Sorhus,,,80228,1140,https://github.com/sindresorhus
yyx990803,Evan You,VoidZero,Singapore,108483,198,https://github.com/yyx990803
gaearon,dan,,,90978,299,https://github.com/gaearon
kentcdodds,Kent C. Dodds,@epicweb-dev ,"Salt Lake City, Utah, USA",34903,751,https://github.com/kentcdodds
wesbos,Wes Bos,me,"Hamilton, Ontario",35645,434,https://github.com/wesbos
addyosmani,Addy Osmani,Google,"Sunnyvale, California",51524,359,https://github.com/addyosmani
